Linux 6.5.0-15-generic (user-virtual-machine) 	Wednesday, November 19, 2025 	_x86_64_	(4 CPU)

06:52:37 PM HKT     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:52:38 PM HKT     all      1.76      0.00      0.00      0.00      0.00     98.24
06:52:39 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:52:40 PM HKT     all     19.24      0.00      5.82      0.00      0.00     74.94
06:52:41 PM HKT     all      1.75      0.00      0.75      0.00      0.00     97.50
06:52:42 PM HKT     all      0.25      0.00      0.25      0.00      0.00     99.50
06:52:43 PM HKT     all      0.00      0.00      0.00      0.50      0.00     99.50
06:52:44 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:52:45 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:52:46 PM HKT     all      0.00      0.00      0.25      0.00      0.00     99.75
06:52:47 PM HKT     all      1.00      0.00      0.00      0.00      0.00     99.00
06:52:48 PM HKT     all      0.25      0.00      0.00      0.25      0.00     99.50
06:52:49 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:52:50 PM HKT     all      0.00      0.00      0.00      0.00      0.00    100.00
06:52:51 PM HKT     all      0.25      0.00      0.25      0.00      0.00     99.50
06:52:52 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:52:53 PM HKT     all      0.00      0.00      0.25      0.25      0.00     99.50
06:52:54 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:52:55 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:52:56 PM HKT     all      0.00      0.00      0.25      0.00      0.00     99.75
06:52:57 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:52:58 PM HKT     all      0.00      0.00      0.00      0.50      0.00     99.50
06:52:59 PM HKT     all      8.33      0.00      1.52      0.00      0.00     90.15
06:53:00 PM HKT     all      7.05      0.00      0.76      0.00      0.00     92.19
06:53:01 PM HKT     all      1.25      0.00      0.50      0.00      0.00     98.25
06:53:02 PM HKT     all     19.95      0.00      6.22      0.00      0.00     73.83
06:53:03 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:53:04 PM HKT     all      0.00      0.00      0.25      0.00      0.00     99.75
06:53:05 PM HKT     all      0.00      0.00      0.00      0.50      0.00     99.50
06:53:06 PM HKT     all      0.25      0.00      0.00      0.00      0.00     99.75
06:53:07 PM HKT     all      2.52      0.00      0.25      0.00      0.00     97.23
Average:        all      2.17      0.00      0.57      0.07      0.00     97.19
